name,owner,stars,age_days,merged_pull_requests,releases,update_frequency_days,primary_language,closed_issues_ratio,health_index
fucking-algorithm,labuladong,135431,2377,244,0,176,Markdown,1.0,0.31051353100224566
free-for-dev,ripienaar,134288,4175,3087,0,0,HTML,,0.3131342793908752
awesome-llm-apps,Shubhamsaboo,133691,846,243,0,1,Python,0.9653179190751444,0.4217355296858214
spec-kit,github,130923,366,1438,215,1,Python,0.8889606197546804,0.43427637677550096
excalidraw,excalidraw,130307,2425,3961,15,0,TypeScript,0.5382896607759496,0.4339660385347122
hello-algo,krahets,129568,1388,996,10,5,Java,0.952054794520548,0.4395584366023104
gstack,garrytan,129300,164,311,0,1,TypeScript,0.617157490396927,0.3638613914212976
ComfyUI,Comfy-Org,129259,1314,3179,153,0,Python,0.5505067015364499,0.42092535300399087
cc-switch,farion1231,128975,384,459,51,2,Rust,0.6696053736356004,0.23405218005331194
30-seconds-of-code,Chalarangelo,128795,3188,856,12,4,JavaScript,1.0,0.49851691228866646
react-native,react,126394,4243,1001,471,0,C++,0.9757782976426128,0.4468424346566817
llama.cpp,ggml-org,125292,1261,9842,1000,0,C++,0.9160868210613772,0.45204354912000094
kubernetes,kubernetes,124922,4460,65651,814,2,Go,0.9624354422207876,0.6593412481867338
electron,electron,122662,4881,26773,1000,0,C++,0.9704144721776964,0.6069040693736459
ui,shadcn-ui,121918,1327,1455,118,0,TypeScript,0.7493527888915039,0.43341684838358435
rustdesk,rustdesk,121570,2155,4214,39,1,Rust,0.9809921186833566,0.32795821774604517
ui-ux-pro-max-skill,nextlevelbuilder,120147,266,140,41,3,Python,0.7670454545454546,0.38874111747296564
node,nodejs,119308,4287,13298,512,0,JavaScript,0.9694157249338784,0.6333160798417463
Awesome-Hacking,Hack-with-Github,118882,3798,41,0,28,,,0.3486621530349483
free-programming-books-zh_CN,justjavac,118478,4675,300,3,25,,,0.38525645706970996
generative-ai-for-beginners,microsoft,118397,1161,601,0,3,Jupyter Notebook,1.0,0.28563663525043115
godot,godotengine,116038,4614,43432,73,1,C++,0.7884105960264901,0.4803589020334859
rust,rust-lang,115958,5911,73730,154,0,Rust,0.8224853001289186,0.6081574316863604
MoneyPrinterTurbo,harry0703,115163,895,218,18,0,Python,0.9936061381074168,0.4289604142894101
codex,openai,114972,497,9811,1000,0,Rust,0.4415128997244719,0.3778027533280159
three.js,mrdoob,114708,5996,16031,177,0,JavaScript,0.9818221478950048,0.6420391530838322
v2rayN,2dust,114496,2581,616,334,1,C#,0.999160486917588,0.5282049349252445
d3,d3,113533,5809,495,194,87,Shell,0.9977748108589232,0.4478951657138804
immich,immich-app,112431,1662,10062,305,0,TypeScript,0.9478791843855632,0.5137388098689005
awesome-mac,jaywcjlove,111654,3689,1246,15,2,Swift,0.7168141592920354,0.33434744076401657
TypeScript,microsoft,110615,4450,14907,218,1,Go,0.8815058866898602,0.4383953455252364
tauri,tauri-apps,110485,2598,5676,0,1,Rust,0.7993149618558306,0.3192078067539465
browser-use,browser-use,110236,661,1897,135,0,Python,0.9336228287841192,0.43708745141696653
awesome-design-md,VoltAgent,109829,145,6,0,23,,0.2025974025974026,0.19571076151306077
graphify,Graphify-Labs,109763,142,135,194,3,Python,0.64726507713885,0.3950151347591365
axios,axios,109199,4387,1486,123,0,JavaScript,0.9907041139240508,0.5517286491361997
frp,fatedier,108959,3898,861,116,6,Go,0.989384800965018,0.38405848684279786
papers-we-love,papers-we-love,108941,4634,444,0,53,Shell,0.992063492063492,0.3850462735544507
ponytail,DietrichGebert,108686,72,174,15,15,JavaScript,0.7700729927007299,0.3787248656053451
supabase,supabase,108319,2507,18771,30,0,TypeScript,0.9518360375747223,0.5191813695891985
deno,denoland,108288,3022,16467,388,0,Rust,0.9207723035952065,0.4293333628830418
whisper,openai,107825,1436,122,13,25,Python,,0.38144113347015185
gemini-cli,google-gemini,106630,493,6662,595,0,TypeScript,0.9615303615303616,0.5155987564049016
nodebestpractices,goldbergyoni,105599,3264,766,0,69,Dockerfile,0.8421052631578947,0.32771177744435587
terminal,microsoft,104674,3298,4521,156,2,C++,0.8827586206896552,0.36968839596281344
DeepSeek-V3,deepseek-ai,104394,605,25,1,360,Python,0.8716773602199817,0.3820952891392842
LLMs-from-scratch,rasbt,103496,1126,507,0,13,Jupyter Notebook,0.9916666666666668,0.2828517898620433
create-react-app,react,103289,3689,1949,83,554,JavaScript,0.7798861480075902,0.46934311236065956
pytorch,pytorch,102556,3662,6605,68,0,Python,0.7700955593029792,0.5103213978557418
HowToCook,Anduin2017,101942,2367,646,5,3,,0.4585764294049008,0.3104931584373964
neovim,neovim,101917,4587,19700,54,0,Vim Script,0.8907348683303461,0.430521382383757
fastapi,fastapi,101787,2815,3569,300,4,Python,0.9997178329571106,0.5371008534643896
weekly,ruanyf,101081,2871,120,0,2,,0.1621518504387638,0.28815696928609796
angular,angular,101000,4357,7395,693,1,TypeScript,0.9679319159952108,0.6480783445608904
caveman,JuliusBrussee,100479,141,59,27,0,Go,0.5152354570637119,0.20564824073671398
